Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
2,Ofi,398,9.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,399,8.8,NA,NA,8.7,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,400,14.4,NA,NA,18.4,NA,NA,19.5,7,NA,NA,NA,NA
2,Ofi,401,11.6,NA,NA,15.5,NA,NA,15.5,7,NA,NA,NA,NA
2,Ofi,402,9.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Fi,403,10.6,NA,NA,16.9,NA,NA,24.3,NA,NA,31.6,NA,25.9
2,Ofi,404,8.6,NA,NA,9.2,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,405,10.6,NA,NA,12.1,NA,NA,13.5,1,NA,NA,NA,NA
2,Ofi,406,8.8,NA,NA,8.5,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,407,11.6,NA,NA,12.8,NA,NA,18.0,7,NA,NA,NA,NA
2,Ofi,408,11.1,NA,NA,12.5,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,409,11.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,410,10.0,NA,NA,15.0,NA,NA,16.0,7,NA,NA,NA,NA
2,Ofi,411,10.3,NA,NA,13.1,NA,NA,14.9,1,NA,NA,NA,NA
2,Ofi,412,11.6,NA,NA,15.3,NA,NA,17.4,1,NA,NA,NA,NA
2,Ofi,413,10.0,NA,NA,14.1,NA,NA,15.6,1,NA,NA,NA,NA
2,Ofi,414,9.0,NA,NA,9.4,NA,NA,14.6,NA,NA,19.8,NA,NA
2,Ofi,415,9.8,NA,NA,13.6,NA,NA,15.5,NA,NA,16.5,NA,NA
2,Ofi,416,10.7,NA,NA,13.7,NA,NA,14.0,7,NA,NA,NA,NA
2,Ofi,417,8.7,NA,NA,11.8,NA,NA,11.8,7,12.9,NA,NA,NA
2,Ofi,418,8.8,NA,NA,11.2,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,419,8.7,NA,NA,12.0,NA,NA,13.2,1,NA,NA,NA,NA
2,Ofi,420,7.4,NA,NA,7.8,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,421,9.2,NA,NA,13.5,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,422,5.7,NA,NA,5.3,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,423,6.1,NA,NA,5.9,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,424,8.8,NA,NA,11.4,NA,NA,12.6,1,NA,NA,NA,NA
2,Ofi,425,10.5,NA,NA,13.4,NA,NA,14.8,1,17.5,NA,NA,NA
2,Ofi,426,5.8,NA,NA,6.6,6,NA,NA,NA,NA,NA,NA,NA
1,Dgl,427,9.2,NA,NA,17.8,NA,15.0,32.3,1,21.6,NA,NA,NA
2,Ofi,428,10.7,NA,NA,16.1,NA,NA,16.8,1,NA,NA,NA,NA
2,Ofi,429,8.4,NA,NA,8.9,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,430,15.4,NA,11.0,22.2,NA,16.8,25.5,1,NA,NA,NA,NA
2,Ofi,431,10.8,NA,10.0,12.4,7,12.8,NA,NA,NA,NA,NA,NA
2,Ofi,432,12.5,NA,NA,16.6,NA,NA,20.0,1,19.5,NA,NA,NA
2,Ofi,433,5.7,NA,NA,5.5,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,434,8.3,NA,NA,10.8,NA,NA,10.8,7,10.4,NA,NA,NA
3,Fi,435,7.6,NA,NA,11.0,NA,NA,14.9,1,16.0,NA,NA,NA
3,Fi,436,5.3,NA,NA,5.3,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,437,9.5,NA,NA,12.8,NA,NA,12.8,7,14.5,NA,NA,NA
2,Ofi,438,8.4,NA,NA,10.4,NA,NA,10.4,7,11.2,NA,NA,NA
2,Ofi,439,5.9,NA,NA,6.2,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,440,11.7,NA,NA,17.3,NA,16.0,18.5,7,NA,NA,NA,NA
2,Ofi,441,8.9,NA,NA,10.6,NA,NA,11.5,7,NA,NA,NA,NA
2,Ofi,442,7.6,NA,NA,9.6,NA,NA,11.5,7,NA,NA,NA,NA
2,Ofi,443,10.6,NA,NA,15.4,NA,NA,18.0,7,NA,NA,NA,NA
2,Ofi,444,7.3,NA,NA,7.0,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,445,12.2,NA,NA,15.9,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,446,11.1,NA,NA,16.2,NA,NA,19.2,1,NA,NA,NA,NA
2,Ofi,447,7.3,NA,NA,7.3,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,448,10.8,NA,NA,12.9,NA,NA,17.4,1,NA,NA,NA,NA
2,Ofi,449,11.0,NA,NA,13.5,NA,NA,17.5,1,NA,NA,NA,NA
2,Ofi,450,10.2,NA,NA,13.5,NA,NA,15.0,1,NA,NA,NA,NA
2,Ofi,451,12.0,NA,NA,16.5,NA,NA,20.4,1,NA,NA,NA,NA
3,Fi,452,11.8,NA,NA,16.9,NA,NA,20.5,7,NA,NA,NA,NA
3,Fi,453,13.3,NA,NA,21.2,NA,NA,31.0,1,NA,NA,NA,NA
2,Ofi,454,9.6,NA,NA,11.7,NA,NA,14.3,1,NA,NA,NA,NA
2,Ofi,455,11.3,NA,NA,12.8,2,NA,NA,NA,NA,NA,NA,NA
2,Ofi,456,8.2,NA,NA,8.5,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,457,16.4,NA,NA,20.6,NA,15.0,21.2,1,NA,NA,NA,NA
2,Ofi,458,10.5,NA,NA,13.7,NA,NA,16.3,1,NA,NA,NA,NA
2,Ofi,459,10.4,NA,NA,13.7,NA,NA,17.4,NA,NA,17.9,NA,NA
2,Ofi,460,8.4,NA,NA,9.5,NA,NA,11.5,7,NA,NA,NA,NA
2,Ofi,461,9.0,NA,NA,10.6,NA,11.8,13.0,7,NA,NA,NA,NA
2,Ofi,462,10.1,NA,NA,13.2,NA,NA,16.5,7,NA,NA,NA,NA
2,Ofi,463,6.8,NA,NA,7.5,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,464,9.2,NA,NA,12.3,NA,NA,16.1,1,NA,NA,NA,NA
2,Ofi,465,13.9,NA,NA,18.9,NA,15.0,21.5,1,NA,NA,NA,NA
2,Ofi,466,9.2,NA,NA,10.4,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,467,7.9,NA,NA,11.7,NA,13.5,13.4,1,NA,NA,NA,NA
2,Ofi,468,6.8,NA,NA,6.9,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,469,7.4,NA,NA,11.8,NA,NA,24.3,1,19.3,NA,NA,NA
2,Ofi,470,8.6,NA,NA,13.3,NA,14.5,17.4,1,18.7,NA,NA,NA
2,Ofi,471,9.9,NA,NA,12.5,NA,NA,15.0,7,NA,NA,NA,NA
2,Ofi,472,9.6,NA,7.0,9.7,4,NA,NA,NA,NA,NA,NA,NA
1,Dgl,473,10.9,NA,8.5,25.6,NA,18.5,42.2,NA,25.2,52.2,NA,NA
2,Ofi,474,9.2,NA,NA,14.2,NA,NA,16.5,NA,NA,16.5,NA,NA
2,Ofi,475,12.2,NA,8.0,17.8,NA,14.3,21.5,NA,18.5,22.8,NA,NA
2,Ofi,476,7.6,NA,8.0,8.3,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,477,3.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,478,9.7,NA,8.0,13.4,NA,13.2,17.0,7,NA,NA,NA,NA
2,Ofi,479,9.8,NA,9.0,14.2,NA,13.8,16.5,7,NA,NA,NA,NA
1,Dgl,480,6.4,NA,NA,9.9,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,481,7.4,NA,7.0,9.6,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,482,14.5,NA,9.5,17.8,6,NA,NA,NA,NA,NA,NA,NA
