Bestandeseinheit,Baumart,Baumnummer,D_1955,Aus_1955,H_1955,D_1959,Aus_1959,H_1959,D_1966,Aus_1966,H_1966,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_1996,Aus_1996,H_1996,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2014,Aus_2014,H_2014
1,Bu,1705,62.8,1,29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1801,53.7,NA,NA,55.7,NA,NA,60.4,NA,NA,66.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1802,14.5,NA,NA,15.1,NA,NA,16.1,NA,NA,16.6,NA,NA,18.4,NA,NA,21.4,NA,NA,21.8,NA,NA,23.9,NA,NA,25.0,NA,NA,27.5,NA,NA,30.3,NA,NA
1,Bu,1803,38.2,NA,NA,40.7,NA,NA,44.2,NA,NA,48.1,NA,NA,52.8,NA,NA,56.3,NA,NA,56.8,NA,NA,59.1,NA,31.5,59.9,3,31.5,NA,NA,NA,NA,NA,NA
1,Bu,1804,36.3,NA,NA,37.3,NA,NA,39.2,NA,NA,42.2,NA,NA,45.4,NA,NA,49.9,NA,NA,50.4,NA,NA,53.1,NA,NA,54.3,NA,NA,56.3,NA,NA,58.2,NA,NA
1,Bu,1805,37.9,NA,NA,39.8,NA,NA,42.8,NA,NA,46.7,NA,NA,51.4,NA,NA,54.1,3,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1901,28.0,NA,NA,29.2,NA,23.5,31.0,NA,NA,33.0,NA,NA,35.3,NA,NA,36.5,3,31.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1902,27.9,NA,NA,28.3,NA,NA,30.0,NA,NA,32.2,NA,NA,34.4,NA,NA,36.9,NA,NA,37.3,NA,NA,39.1,NA,33.5,39.7,3,33.5,NA,NA,NA,NA,NA,NA
1,Bu,1903,22.6,NA,NA,23.6,NA,NA,25.2,NA,NA,26.4,NA,NA,27.4,NA,NA,29.2,NA,NA,29.5,NA,NA,30.9,NA,NA,32.5,NA,NA,34.0,NA,NA,35.8,NA,NA
1,Bu,1904,12.3,NA,NA,12.4,NA,NA,12.6,NA,NA,12.8,NA,NA,13.6,NA,NA,16.2,NA,NA,16.4,NA,NA,17.2,NA,NA,18.1,NA,NA,18.7,NA,NA,20.6,NA,17.6
1,Bu,2001,9.3,NA,NA,9.8,NA,NA,10.4,NA,NA,10.6,NA,NA,10.8,NA,NA,12.1,NA,NA,12.3,NA,NA,13.0,NA,NA,13.4,NA,NA,14.2,NA,NA,14.3,NA,NA
1,Bu,2002,10.7,NA,NA,11.4,NA,NA,12.3,NA,NA,12.8,NA,NA,13.1,NA,NA,14.4,NA,NA,14.7,NA,NA,16.0,NA,14.3,20.3,6,NA,NA,NA,NA,NA,NA,NA
1,Bu,2003,7.1,NA,NA,7.1,NA,NA,7.2,NA,NA,7.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2004,37.6,NA,NA,40.4,NA,NA,44.2,NA,NA,48.4,NA,NA,53.3,NA,NA,57.6,NA,NA,58.0,2,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2005,24.9,NA,NA,26.3,NA,NA,29.8,NA,NA,33.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2006,32.2,NA,NA,33.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2007,14.7,NA,NA,15.2,NA,NA,15.8,NA,NA,16.0,NA,NA,16.7,NA,NA,17.4,NA,NA,17.8,NA,NA,19.9,NA,19.7,20.9,NA,20.3,22.2,NA,20.8,23.8,NA,21.5
1,Bu,2008,6.8,NA,NA,7.0,NA,NA,7.2,NA,NA,7.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2101,28.1,NA,NA,29.6,NA,NA,33.6,NA,NA,37.5,NA,NA,40.8,NA,33.0,43.5,3,29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2102,16.2,NA,NA,17.8,NA,NA,20.6,NA,NA,23.0,NA,NA,26.3,NA,NA,30.1,NA,24.5,30.5,NA,NA,32.5,NA,NA,33.9,NA,NA,35.9,NA,NA,37.4,NA,NA
1,Bu,2103,11.3,NA,NA,11.4,NA,NA,11.8,NA,NA,11.7,NA,NA,11.8,NA,NA,12.3,NA,NA,12.3,NA,NA,12.3,NA,NA,12.5,NA,NA,12.9,NA,NA,13.5,NA,NA
1,Bu,2104,15.8,NA,NA,17.0,NA,NA,17.4,NA,NA,17.6,NA,NA,18.4,NA,NA,20.1,NA,NA,20.3,NA,NA,21.1,NA,NA,21.9,NA,NA,22.3,NA,NA,23.2,NA,22.4
1,Bu,2105,11.9,NA,NA,12.2,NA,NA,12.4,NA,NA,12.4,NA,NA,12.9,NA,NA,14.3,NA,NA,14.5,NA,NA,15.5,NA,14.2,16.1,NA,NA,17.0,NA,NA,18.4,NA,NA
1,Bu,2106,5.9,NA,NA,6.2,NA,NA,6.8,NA,NA,6.6,NA,NA,7.2,NA,NA,7.7,NA,NA,7.8,NA,NA,8.3,NA,8.2,8.6,NA,NA,8.7,NA,NA,9.1,NA,NA
1,Bu,2107,32.8,NA,NA,34.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2108,37.5,NA,NA,39.2,NA,NA,43.8,NA,NA,48.8,NA,NA,53.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2201,12.8,NA,NA,13.5,NA,NA,14.6,NA,NA,14.6,NA,NA,15.6,NA,NA,18.4,NA,NA,18.6,NA,NA,19.4,NA,NA,20.3,NA,NA,21.7,NA,NA,23.5,NA,NA
1,Bu,2202,24.7,NA,NA,27.1,NA,NA,31.8,NA,NA,35.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,2203,32.7,NA,NA,33.6,NA,NA,37.0,NA,NA,40.4,NA,28.5,45.1,NA,32.2,49.4,NA,32.7,49.8,NA,NA,51.6,NA,33.6,52.9,NA,37.0,53.8,NA,NA,55.8,NA,NA
1,Bu,2204,15.7,NA,NA,15.7,NA,NA,16.4,NA,NA,16.4,NA,NA,16.6,NA,NA,18.1,NA,NA,18.4,NA,NA,19.6,NA,NA,20.3,NA,NA,21.7,NA,NA,22.7,NA,NA
1,Bu,2205,26.4,NA,NA,27.5,NA,NA,30.2,NA,NA,31.8,NA,NA,34.7,NA,NA,39.0,NA,NA,39.6,NA,NA,42.8,NA,NA,43.1,NA,NA,44.4,NA,NA,45.5,NA,NA
1,Bu,2301,35.6,NA,NA,37.9,NA,NA,41.4,NA,NA,44.3,NA,NA,47.3,NA,31.5,50.5,NA,33.6,50.8,NA,NA,52.5,NA,34.2,52.9,NA,34.6,54.0,NA,NA,55.2,NA,33.7
1,Bu,2302,14.9,NA,NA,15.5,NA,NA,17.8,NA,NA,19.0,NA,NA,20.4,NA,NA,22.1,NA,NA,22.3,NA,NA,23.3,NA,NA,23.5,NA,NA,24.8,NA,NA,26.1,NA,NA
1,Bu,2303,28.7,NA,NA,30.6,NA,NA,34.5,NA,NA,39.0,NA,NA,42.6,NA,NA,46.9,NA,NA,47.2,NA,NA,48.9,NA,32.3,50.2,NA,32.8,51.3,NA,NA,53.2,NA,NA
1,Bu,2304,6.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2305,27.9,1,24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2401,13.9,NA,NA,14.2,NA,NA,15.3,NA,NA,15.4,NA,NA,15.8,NA,NA,16.7,NA,NA,16.8,NA,NA,17.2,NA,NA,17.4,NA,NA,18.3,NA,NA,18.6,NA,15.1
1,Bu,2402,33.9,NA,NA,34.8,NA,NA,36.8,NA,NA,37.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2403,42.1,NA,25.5,44.0,NA,NA,48.2,NA,NA,52.1,1,32.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2501,31.2,NA,NA,33.0,NA,NA,35.6,NA,NA,38.0,NA,33.5,39.8,NA,32.5,43.9,NA,33.3,43.9,NA,NA,44.1,NA,NA,45.1,NA,NA,46.4,NA,NA,46.3,NA,NA
1,Bu,2502,30.1,NA,NA,30.8,NA,NA,32.6,NA,NA,34.4,NA,NA,36.3,NA,NA,38.0,NA,NA,38.0,NA,NA,38.0,NA,NA,38.6,NA,NA,39.1,NA,NA,40.1,NA,34.9
1,Bu,2601,19.2,NA,NA,20.2,NA,NA,22.3,NA,NA,23.3,NA,NA,24.3,NA,NA,26.0,NA,NA,26.3,NA,NA,27.5,NA,NA,28.2,NA,NA,30.0,NA,NA,32.3,NA,NA
1,Bu,2602,26.9,NA,NA,28.2,NA,NA,30.6,NA,NA,32.0,NA,NA,34.0,NA,NA,36.9,NA,NA,37.1,NA,NA,38.0,NA,NA,38.7,NA,NA,39.9,NA,NA,40.5,NA,NA
1,Bu,2603,33.3,NA,NA,35.0,NA,NA,38.5,NA,NA,41.3,NA,NA,44.0,NA,NA,46.5,NA,NA,46.7,NA,NA,47.5,NA,NA,48.0,NA,NA,49.0,NA,NA,49.9,NA,NA
1,Bu,2604,30.0,NA,NA,31.2,NA,NA,34.6,NA,NA,37.8,NA,NA,40.6,NA,NA,43.4,NA,NA,43.5,NA,NA,43.8,NA,NA,44.5,NA,NA,45.5,NA,NA,46.7,NA,34.6
1,Bu,2605,45.8,1,26.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2701,7.7,NA,NA,9.2,NA,NA,10.4,NA,NA,10.8,NA,NA,12.4,NA,NA,14.6,NA,NA,14.8,NA,NA,15.9,NA,NA,16.7,NA,NA,17.8,NA,NA,18.5,NA,17.0
1,Bu,2702,32.5,NA,NA,34.6,NA,NA,38.9,NA,NA,43.6,NA,NA,47.5,NA,NA,50.8,NA,NA,51.1,NA,NA,52.8,NA,NA,52.6,6,NA,NA,NA,NA,NA,NA,NA
1,Bu,2703,22.2,NA,NA,26.0,NA,NA,27.4,NA,NA,28.2,NA,NA,29.6,NA,NA,31.1,NA,NA,31.3,NA,NA,32.1,NA,NA,32.5,NA,NA,33.0,NA,NA,35.0,NA,NA
1,Bu,2801,18.8,NA,NA,19.4,NA,NA,20.8,NA,NA,21.0,NA,27.0,21.4,NA,25.4,23.2,NA,26.7,23.5,NA,23.5,25.1,NA,NA,24.8,NA,NA,26.8,NA,NA,28.5,NA,NA
1,Bu,2802,32.8,NA,NA,33.6,NA,NA,36.1,NA,NA,37.6,NA,33.0,39.8,NA,32.2,42.3,NA,34.1,42.6,NA,NA,44.1,NA,34.7,45.4,NA,35.0,47.2,NA,35.4,48.9,NA,35.9
1,Bu,2803,36.6,NA,NA,37.8,NA,NA,41.2,NA,NA,44.0,NA,32.0,47.7,7,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2901,28.2,NA,NA,29.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,2902,39.0,NA,NA,40.4,NA,NA,43.4,NA,NA,46.1,NA,33.5,50.0,NA,33.2,53.0,NA,33.3,53.3,NA,NA,54.6,NA,NA,54.5,NA,NA,55.7,NA,NA,56.2,NA,NA
1,Bu,2903,16.9,NA,NA,17.4,NA,NA,18.6,NA,NA,19.2,NA,NA,20.2,NA,NA,23.0,NA,NA,23.2,NA,NA,24.3,NA,NA,24.9,NA,NA,26.0,NA,NA,27.5,NA,NA
3,Es,2904,29.4,NA,NA,30.7,NA,NA,33.4,NA,NA,36.5,NA,33.5,41.0,NA,33.4,47.3,NA,35.2,47.6,NA,NA,49.3,NA,36.2,50.1,NA,36.8,52.3,NA,NA,54.2,NA,38.3
1,Bu,2905,10.4,NA,NA,11.1,NA,NA,11.9,NA,NA,12.3,NA,NA,14.0,NA,NA,16.8,NA,NA,17.0,NA,NA,17.9,NA,NA,18.6,NA,NA,20.7,NA,NA,22.8,NA,NA
3,Es,3001,32.0,NA,NA,33.5,NA,NA,37.8,NA,NA,42.1,NA,NA,47.6,NA,NA,51.5,3,33.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3002,7.3,NA,NA,7.3,NA,NA,7.6,NA,NA,7.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3003,12.4,NA,NA,12.8,NA,NA,13.3,NA,NA,13.4,NA,NA,13.6,NA,NA,15.0,NA,NA,15.3,NA,NA,16.6,NA,NA,18.0,NA,NA,19.3,NA,NA,21.3,NA,NA
1,Bu,3004,6.1,NA,NA,6.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3005,13.4,NA,NA,14.2,NA,NA,15.7,NA,NA,16.5,NA,NA,16.8,NA,NA,18.3,NA,NA,18.6,NA,NA,20.0,NA,20.1,20.3,NA,20.1,21.4,NA,NA,22.0,NA,17.3
1,Bu,3006,8.3,NA,NA,8.8,NA,NA,9.0,NA,NA,9.2,NA,NA,9.2,NA,NA,11.1,NA,NA,11.3,NA,NA,12.5,NA,NA,13.9,NA,NA,14.6,NA,NA,15.1,NA,NA
1,Bu,3007,7.4,NA,NA,7.4,NA,NA,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3008,9.0,NA,NA,9.4,NA,NA,9.4,NA,NA,9.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3101,30.4,NA,NA,32.7,NA,NA,34.6,NA,NA,37.7,NA,NA,40.8,NA,NA,43.3,NA,NA,43.6,NA,NA,44.9,NA,30.9,45.2,3,30.0,NA,NA,NA,NA,NA,NA
1,Bu,3102,33.6,NA,NA,35.2,NA,NA,39.9,7,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3103,25.9,NA,NA,27.4,NA,NA,31.3,NA,NA,35.8,NA,NA,39.9,NA,NA,43.8,NA,NA,44.1,NA,NA,45.8,NA,33.9,46.5,NA,NA,47.9,NA,NA,48.3,NA,32.4
1,Bu,3104,15.4,NA,NA,15.8,NA,NA,16.7,NA,NA,17.4,NA,NA,17.5,NA,NA,19.6,NA,NA,19.9,NA,NA,21.1,NA,NA,22.0,NA,NA,23.1,NA,NA,23.9,NA,NA
1,Bu,3201,9.7,NA,NA,9.8,NA,NA,10.2,NA,NA,10.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3202,36.5,NA,NA,37.9,NA,NA,40.8,NA,NA,44.0,NA,NA,47.7,NA,NA,50.7,NA,NA,50.9,NA,NA,52.1,NA,NA,52.6,NA,NA,53.5,NA,NA,54.3,NA,33.0
1,Bu,3203,10.6,NA,NA,10.8,NA,NA,11.0,NA,NA,10.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3204,39.9,NA,NA,41.7,NA,NA,43.8,NA,NA,46.0,NA,NA,48.2,NA,NA,49.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3205,18.6,NA,NA,18.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3206,27.7,NA,NA,28.6,NA,NA,29.9,NA,NA,30.4,NA,NA,31.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3207,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3301,27.8,NA,NA,28.1,NA,NA,30.8,NA,NA,32.6,NA,NA,34.4,NA,NA,37.9,NA,NA,38.2,NA,NA,39.6,NA,NA,39.6,NA,NA,39.6,NA,NA,39.7,5,30.1
1,Bu,3302,37.5,NA,NA,39.5,NA,NA,42.5,NA,NA,45.4,NA,NA,49.2,NA,NA,51.6,NA,NA,51.8,NA,NA,52.7,NA,33.8,52.9,NA,NA,54.0,NA,NA,54.3,NA,NA
1,Bu,3303,30.2,NA,NA,31.7,NA,NA,33.7,NA,NA,35.8,NA,NA,38.2,NA,NA,40.7,NA,NA,40.9,NA,NA,42.1,NA,33.6,42.5,NA,NA,43.2,NA,NA,43.2,NA,NA
1,Bu,3304,35.2,NA,NA,36.4,NA,NA,37.6,NA,NA,38.7,NA,NA,39.9,NA,NA,41.1,3,31.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3305,15.4,NA,NA,15.6,NA,NA,16.0,NA,NA,16.0,NA,NA,16.2,NA,NA,18.0,NA,NA,18.2,NA,NA,18.9,NA,16.4,19.6,NA,NA,20.9,NA,NA,21.4,NA,NA
1,Bu,3306,20.8,NA,NA,21.2,NA,NA,21.3,NA,NA,21.4,NA,NA,21.3,NA,NA,21.4,3,16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3401,41.9,NA,25.5,43.2,NA,NA,46.2,NA,NA,48.2,NA,NA,51.7,NA,NA,54.5,NA,34.8,54.9,NA,NA,56.9,6,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3402,31.2,NA,NA,31.8,NA,NA,33.4,NA,NA,34.8,NA,31.5,36.3,NA,33.2,39.3,NA,33.7,39.9,NA,NA,42.9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3403,35.5,NA,NA,38.1,NA,NA,41.0,NA,NA,44.8,NA,34.0,49.1,NA,34.0,52.6,3,30.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3404,33.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3501,14.8,NA,NA,14.9,NA,NA,15.3,NA,NA,15.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3502,30.8,NA,NA,32.5,NA,NA,35.4,NA,NA,38.0,NA,29.0,41.4,NA,32.7,45.2,NA,34.6,45.7,NA,NA,48.0,NA,NA,49.3,NA,NA,51.1,NA,NA,52.7,NA,NA
1,Bu,3503,14.4,NA,NA,14.5,NA,NA,14.6,NA,NA,14.6,NA,22.5,14.7,NA,21.9,15.1,NA,21.9,15.2,NA,NA,15.4,NA,NA,15.4,NA,NA,16.2,NA,NA,17.3,NA,NA
1,Bu,3504,32.0,NA,NA,33.3,NA,NA,36.4,NA,NA,39.7,NA,30.0,42.5,NA,32.7,44.8,NA,33.7,45.1,NA,NA,46.7,NA,NA,47.3,NA,NA,48.6,NA,NA,49.9,NA,NA
1,Bu,3505,16.2,NA,NA,16.2,NA,NA,16.5,1,18.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3601,42.1,NA,26.0,42.8,NA,NA,46.0,NA,NA,49.3,NA,NA,53.3,NA,NA,56.6,NA,NA,57.0,NA,NA,58.8,NA,NA,59.9,NA,NA,61.1,NA,NA,61.9,NA,NA
1,Bu,3602,40.2,NA,NA,42.2,NA,NA,45.6,NA,NA,48.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3701,11.7,NA,NA,12.2,NA,NA,12.5,NA,NA,12.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3702,18.5,NA,NA,19.4,NA,NA,21.4,NA,NA,22.6,NA,25.0,24.4,NA,28.2,26.8,NA,28.8,27.2,NA,NA,28.9,NA,29.4,30.0,NA,29.9,31.8,NA,30.3,33.8,NA,30.8
1,Bu,3703,17.4,NA,NA,17.6,NA,NA,17.9,NA,NA,17.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3704,37.6,NA,NA,38.9,NA,26.9,43.2,NA,NA,48.0,NA,NA,52.6,NA,NA,56.0,NA,33.6,56.2,NA,NA,57.0,NA,NA,59.8,NA,NA,62.4,NA,NA,63.6,NA,NA
1,Bu,3705,57.4,1,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3801,26.8,NA,NA,27.8,NA,NA,29.7,NA,NA,31.6,NA,33.5,33.4,NA,32.7,35.5,NA,33.7,35.7,NA,30.0,36.6,NA,NA,37.3,NA,NA,38.6,NA,NA,40.0,NA,32.6
1,Bu,3802,32.9,NA,NA,33.8,NA,NA,36.7,7,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3803,11.3,NA,NA,11.3,NA,NA,11.4,NA,NA,11.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3804,12.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3901,44.0,NA,28.5,46.4,NA,NA,49.0,NA,NA,52.4,NA,NA,57.4,NA,34.0,60.7,NA,35.9,61.1,NA,NA,62.8,NA,33.7,62.7,3,33.7,NA,NA,NA,NA,NA,NA
1,Bu,3902,44.8,NA,29.5,46.2,NA,NA,49.2,NA,NA,52.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3903,43.3,NA,26.5,44.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,3904,14.5,NA,NA,15.1,NA,NA,15.6,NA,NA,15.4,1,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4001,10.2,NA,NA,10.6,NA,NA,11.6,NA,NA,12.2,NA,NA,12.2,NA,NA,14.5,NA,NA,15.1,NA,NA,18.3,NA,NA,20.1,NA,NA,23.2,NA,NA,25.3,NA,NA
1,Bu,4002,7.5,NA,NA,8.0,NA,NA,9.0,NA,NA,9.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4003,8.1,NA,NA,8.4,NA,NA,9.8,NA,NA,10.8,NA,NA,11.3,NA,NA,13.0,3,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4004,8.9,NA,NA,9.0,NA,NA,9.4,NA,NA,9.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4005,7.1,NA,NA,7.6,NA,NA,7.8,NA,NA,7.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4006,37.8,NA,NA,40.8,NA,NA,45.5,NA,NA,50.6,NA,NA,54.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4007,6.5,NA,NA,6.7,NA,NA,6.9,NA,NA,7.2,NA,NA,7.2,NA,NA,10.1,NA,NA,10.7,NA,NA,13.8,NA,11.6,15.7,NA,13.5,18.6,NA,15.4,22.0,NA,17.7
1,Bu,4008,6.0,NA,NA,6.2,NA,NA,6.4,NA,NA,6.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4009,53.5,1,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4101,33.2,NA,NA,35.2,NA,NA,39.0,NA,NA,43.0,NA,NA,47.4,NA,NA,49.3,3,31.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4102,16.5,NA,NA,16.7,NA,NA,17.0,NA,NA,16.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,4103,28.8,NA,NA,30.3,NA,NA,33.0,NA,NA,36.6,NA,NA,40.6,NA,NA,43.6,NA,NA,43.9,NA,NA,45.2,NA,NA,46.2,NA,NA,49.0,NA,NA,50.8,NA,31.3
