Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  15:02:44
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 04
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	24.07.1984	24.07.1984	24.07.1984	12.09.1995	12.09.1995	12.09.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
Wert	Wert	Wert	D	Aus	H	D	Aus	H	D	Aus	H	D	Aus	H	
Einheit	Einheit	Einheit	cm		m	cm		m	cm		m	cm		m	
Bst.-E.	Art	Baum	370	14	38	356	99	47	257	143	28	114	0	42	
2	Ofi	350	12,0			16,9			21,9		21,1	24,8		22,0	
2	Ofi	351	9,9		9,0	13,5		13,5	15,5	7					
2	Ofi	352	12,4			18,0		14,3	23,3		20,6	27,9		21,7	
2	Ofi	353	14,6		10,5	21,8		17,8	28,7		21,6	31,2		24,1	
2	Ofi	354	9,9			10,5			15,0	7					
2	Ofi	355	10,1			13,5		13,3	17,0	7					
2	Ofi	356	7,3			11,2		12,0	14,2		16,5	16,2		16,5	
2	Ofi	357	7,4		8,5	8,0	4								
2	Ofi	358	10,2			14,0		14,0	18,0	7					
2	Ofi	359	13,2			17,6			19,5	7					
2	Ofi	360	10,0	1											
2	Ofi	361	12,8			17,3			18,9	1					
2	Ofi	362	10,0			14,4			18,0			20,9			
2	Ofi	363	10,1			12,8			13,9			17,7			
2	Ofi	364	9,0			11,1			11,3	1					
2	Ofi	365	12,3			16,0			17,3			18,7		19,2	
2	Ofi	366	12,0			16,6			19,2			21,2			
2	Ofi	367	10,5			10,8	5								
2	Ofi	368	14,0			18,1			21,0			22,5			
2	Ofi	369	11,7			15,3			16,7	1					
2	Ofi	370	8,5	1											
